# symbol: AAPL
timeZone=America/New_York
date,time,open,high,low,close,volume
20150303,050000,129.09,129.52,128.09,129.36,37341916
20150304,050000,129.08,129.56,128.32,128.54,29826240
20150305,050000,128.66,128.75,125.76,126.41,55911552
20150306,050000,128.37,129.37,126.26,126.6,72129896
20150309,040000,128.07,129.57,125.06,127.14,88277136
20150310,040000,126.69,127.22,123.8,124.51,68119296
20150311,040000,124.73,124.77,122.11,122.24,67782344
20150312,040000,122.37,124.9,121.63,124.45,47472184
20150313,040000,124.39,125.395,122.58,123.59,51551864
20150316,040000,123.99,124.95,122.87,124.95,35083328
20150317,040000,125.86,127.32,125.65,127.04,50809552
20150318,040000,127.0,129.16,126.37,128.47,64970388
20150319,040000,128.79,129.245,127.4,127.495,45582288
20150320,040000,128.26,128.4,125.16,125.9,64530868
20150323,040000,127.08,127.85,126.52,127.21,36732440
20150324,040000,127.19,128.04,126.56,126.69,32393256
20150325,040000,126.71,126.82,123.38,123.38,51018820
20150326,040000,122.9,124.88,122.6,124.24,46779904
20150327,040000,124.61,124.7,122.91,123.25,39008160
20150330,040000,124.12,126.4,124.0,126.37,46765028
20150331,040000,126.12,126.49,124.355,124.43,40278552
20150401,040000,124.83,125.12,123.1,124.25,40281312
20150402,040000,125.01,125.56,124.19,125.32,32078910
20150406,040000,124.5,127.51,124.33,127.35,36810664
20150407,040000,127.7,128.122,125.98,126.01,34521448
20150408,040000,125.78,126.4,124.97,125.6,36838488
20150409,040000,125.85,126.58,124.66,126.56,32051762
20150410,040000,125.94,127.21,125.26,127.1,40006020
20150413,040000,128.09,128.57,126.61,126.85,35920648
20150414,040000,127.09,127.29,125.91,126.3,25155986
20150415,040000,126.55,127.13,126.01,126.78,28723068
20150416,040000,126.385,127.1,126.11,126.17,27820704
20150417,040000,125.54,126.14,124.46,124.75,49714588
20150420,040000,125.57,128.12,125.17,127.6,46904456
20150421,040000,128.1,128.2,126.67,126.91,32151424
20150422,040000,126.99,128.87,126.32,128.62,37353144
20150423,040000,128.3,130.42,128.14,129.67,45364468
20150424,040000,130.49,130.63,129.23,130.28,43082488
20150427,040000,132.31,133.13,131.15,132.65,80014704
20150428,040000,134.455,134.54,129.57,130.56,118453384
20150429,040000,130.16,131.59,128.3,128.64,58303008
20150430,040000,127.5,127.88,124.58,125.15,81328016
20150501,040000,126.1,130.13,125.3,128.95,56985692
20150504,040000,129.5,130.57,128.26,128.7,50137340
